Team,Homes (000)
Angels,5905
Chargers,5905
Clippers,5905
Devils,7595
Ducks,5905
Islanders,7595
Jets,7595
Mets,7595
Nets,7595
WhiteSox,3649
49ers,2520
76ers,3177
Astros,2773
Avalanche,1787
Bears,3649
Bengals,940
Bills,641
Blackhawks,3649
BlueJackets,1020
Blues,1285
Braves,2737
Brewers,932
Broncos,1787
Browns,1553
Bruins,2606
Buccaneers,2143
Bucks,932
Bulls,3649
Capitals,2578
Cardinals,1285
Cardinals,2174
Cavaliers,1553
Celtics,2606
Chiefs,1019
Colts,1206
Commanders,2578
Cowboys,3130
Coyotes,2174
Cubs,3649
D’Backs,2174
Dodgers,5905
Dolphins,1737
Eagles,3177
Falcons,2737
Flyers,3177
Giants,7595
Giants,2520
GoldenKnights,889
Grizzlies,673
Guardians,1553
Hawks,2737
Heat,1737
Hornets,1362
Hurricanes,1333
Jazz,1174
Kings,1526
Kings,5905
Knicks,7595
Kraken,2071
Lakers,5905
Lightning,2143
Lions,1930
Magic,1840
Mariners,2071
Marlins,1737
Mavericks,3130
Nationals,2578
Nuggets,1787
Orioles,1162
Pacers,1206
Packers,932
Padres,1123
Panthers,1362
Panthers,1737
Patriots,2606
Pelicans,672
Penguins,1165
Phillies,3177
Pirates,1165
Pistons,1930
Predators,1192
Raiders,889
Rams,5905
Rangers,3130
Rangers,7595
Ravens,1162
Rays,2143
RedSox,2606
RedWings,1930
Reds,940
Rockets,2773
Rockies,1787
Royals,1019
Sabres,641
Saints,672
Seahawks,2071
Sharks,2520
Spurs,1081
Stars,3130
Steelers,1165
Suns,2174
T’Wolves,1862
Texans,2773
Thunder,737
Tigers,1930
Titans,1192
TrailBlazers,1315
Twins,1862
Vikings,1862
Warriors,2520
Wild,1862
Wizards,2578
Yankees,7595
